Rank,Song,Artist,Year,Lyrics,Source
36,i know a place,"petula clark
",1965,"every day when the work is behind you
and the shop and the store put the lock on the door,
just get away where your worries won't find you.
if you like, well, i'll tell you more.

don't let the day get the better of you.
when the evening comes, there's so much to do!
you'd better put on your best and wear a smile.
come along with me a while
'cause i tell you

chorus:
i know a place
where the music is fine and the lights are always low!
i know a place
where we can go.

at the door there's a man who will greet you.
then you go downstairs to some tables and chairs.
soon, i'm sure, you'll be tapping your feet
because the beat is the greatest there.

all around there are girls and boys.
it's a swingin' place,
a cellar full of noise!
it's got an atmosphere of its own somehow.
you gotta come along right now!
'cause i tell you

chorus

- musical interlude -

well, all around there are girls and boys.
it's a swingin' place,
a cellar full of noise.
it's got an atmosphere of its own somehow.
you've gotta come along right now!
'cause i tell you

chorus

i know a place where we can go!
i know a place where the lights are low!
i know a place where we can go!
i know a place where the lights are low!
(repeat and fade out)",0
37,back in my arms again,"the supremes
",1965,"all day long i hear my telephone ring
friends calling giving their advice
from the boy i love, i should break away
'cause heartaches he'll bring one day

i lost him once through friends advice
but it's not gonna happen twice
'cause all advice ever gotten me
was many long and sleepless nights

but now he's back in my arms again
right by my side
i got him back in my arms again
so satisfied

it's easy for friends to say let him go
but i'm the one who needs him so
it's his love that makes me strong
without him i can't go on

this time i'll live my life at ease
being happy lovin' whom i please
and each time we make romance
i'll be thankful for a second chance

'cause he's back in my arms again
right by my side
i've got him back in my arms again
so satisfied

how can mary tell me what to do
when she lost her love so true?
and flo, she don't know
'cause the boy she loves is a romeo

i listened once to my friends advice
but it's not gonna happen twice
'cause all advice ever gotten me
was many long and sleepless nights

i got him back in my arms again
right by my side
i got him back in my arms again
so satisfied

i'm satisfied
so satisfied
i'm satisfied, i'm satisfied
so satisfied",0
38,baby i'm yours,"barbara lewis
",1965,"we do not have the lyrics for baby, i'm yours yet.",0
39,the jolly green giant,"the kingsmen
",1965,"in the valley of the jolly

heard about the jolly green giant
(potatoes)
he's so big and mean
(artichoke hearts)

well, he stands there laughin'
with his hands on his hips
and then he hits you with a can of beans

well, he lives down there in his valley
(brussels sprouts)
the cat stands tall and green
(spinach)

well, he ain't no prize
and there's no women his size
and that's why the cat's so mean

one day he left his valley pad
i mean to say this cat was mad
now lookin' 'round he was [incomprehensible]
and then he ran into an amazon

well, this changed his whole complexion
(broccoli)
he had never seen such a beautiful sight
(corn)
then he looked at her and she looked at him
and she almost passed out from fright

he looked at her thought, what a dilly
he touched her once, she slapped him silly
this was something he had never sensed

he looked at her as she commenced
""now listen, pal, this ain't no fluke
i can't see goin' with a big green kook""

you've heard about the jolly green giant
  (eggplant)
don't let his troubles cross your mind
(celery stalks)
he couldn't get sally so went back to his valley
the cat was color-blind

carrots
canned beans",0
40,"hush, hush, sweet charlotte","patti page
",1965,"hush hush, sweet charlotte
charlotte, don't you cry
hush hush, sweet charlotte
he'll love you till he dies
oh, hold him darling please hold him tight
and brush the tear from your eyes
you weep because you had a dream last night
you dreamed that he said goodbye
he held two roses within his hand
two roses he gave to you
the red rose tells you of his passion
the white rose his love so true
hush hush, sweet charlotte
charlotte, don't you cry
hush hush, sweet charlotte
he'll love you till he dies
and every night after he shall die
yes every night when he's gone
the wind will sing to you this lullaby
sweet charlotte was loved by john
hush hush, sweet charlotte
charlotte, don't you cry
hush hush, sweet charlotte
he'll love you till he dies",0
41,like a rolling stone,"bob dylan
",1965,"once upon a time you dressed so fine
threw the bums a dime in your prime, didn't you?
people call, say, ""beware doll you're bound to fall""
you thought they were all kiddin' you

you used to laugh about everybody that was hangin' out
now you don't talk so loud
now you don't seem so proud
about having to be scrounging your next meal

how does it feel?
how does it feel?
to be without a home
like a complete unknown
like a rolling stone

you've gone to the finest school, all right miss lonely
but you know you only used to get juiced in it
nobody's ever taught you how to live out on the street
and now you're gonna have to get used to it

you said you'd never compromise with the mystery tramp
but now you realize, he's not selling any alibis
as you stare into the vacuum of his eyes
and say, ""do you want to make a deal?""

how does it feel?
how does it feel?
to be on your own
with no direction home
a complete unknown
like a rolling stone

you never turned around to see the frowns
on the jugglers and the clowns when they all did tricks for you
never understood that it ain't no good
you shouldn't let other people get your kicks for you

you used to ride on the chrome horse with your diplomat
who carried on his shoulder a siamese cat
ain't it hard when you discover that he really wasn't where it's at?
after he took from you everything he could steal

how does it feel?
how does it feel?
to be on your own
with no direction home
like a complete unknown
like a rolling stone

princess on the steeple and all the pretty people
they're all drinkin', thinkin' that they got it made
exchanging all precious gifts
but you better take your diamond ring, you better pawn it babe

you used to be so amused at napoleon in rags
and the language that he used, go to him now he calls you
you can't refuse, when you got nothing, you got nothing to lose
you're invisible now, you got no secrets to conceal

how does it feel?
how does it feel?
to be on your own
with no direction home
like a complete unknown
like a rolling stone",0
42,i'm telling you now,"freddie and the dreamers
",1965,"freddie
miscellaneous
i'm telling you now
i'm telling you now
freddie & the dreamers

i'm telling you now
i'm telling you right away
i'll be staying for many a day
i'm in love with you now

i'm telling you now
i'll say what you wanna hear
i'll be telling you for many a year
i'm in love with you now

do you think i'm foolin'
when i say ""i love you""?
i love you
maybe you'll believe me
when i'm finally through, through, through, through

i'm telling you now
i know it's been said before
say you love me and i will be sure
i'm in love with you now

i'm telling you now
i'm telling you right away
i'll be staying for many a day
i'm in love with you now

do you think i'm foolin'
when i say ""i love you""?
i love you
maybe you'll believe me
when i'm finally through, through, through, through

i'm telling you now
i know it's been said before
say you love me and i will be sure
i'm in love with you now
i'm in love with you now
i'm telling you now",0
43,ferry cross the mersey,"gerry and the pacemakers
",1965,"gerry
miscellaneous
ferry 'cross the mersey
ferry 'cross the mersey
gerry and pace makers
(gerry marsden)

life goes on day after day
hearts torn in every way

so ferry 'cross the mersey
'cause this land's the place i love
and here i'll stay

people they rush everywhere
each with their own secret care

so ferry 'cross the mersey
and always take me there
the place i love

people around every corner
they seem to smile and say
we don't care what your name is boy
we'll never turn you away

so i'll continue to say
here i always will stay

so ferry 'cross the mersey
'cause this land's the place i love
and here i'll stay
and here i'll stay
here i'll stay",0
44,just once in my life,"the righteous brothers
",1965,"the righteous brothers
miscellaneous
just once in my life
just once in my life
the righteous brothers

- written by carole king, gerry goffin and phil spector
- #9 hit for the righteous brothers in 1965
- lyrics as recorded by the righteous brothers and included on the
album ""best of the righteous brothers"" (curb records d2-77381)

there's a lotta things i want, a lotta things that i'd like to be
but girl i don't foresee a rags to riches story for me
there's just one little dream i've got to make come true
there's just one round i've got to win, i can't be a loser with you

and baby, baby
just once in my life let me get what i want
girl, don't let me down
just once in my life let me hold on to
the good thing i've found, don't let me down
baby, say that you'll be stayin'

'cause i couldn't face the day if you weren't here by my side
and if you went away then i'd be left without any pride
i've given up on schemes 'cause every one fell through
i've given up so many things, don't ask me to give up on you

and baby, baby
just once in my life let me get what i want
girl, don't let me down
just once in my life let me hold on to
the good thing i've found, don't let me down
baby, say that you'll be stayin'

that old pot of gold ain't so easy to find
but if you'll stand by me, girl, i'll keep peace of mind
i can't give you the world but i will work hard for you, girl
yes, i'll work hard (everyday) all my life (you will see)
if you won't leave me (baby, don't leave)
please don't leave me (oh no don't leave)
just do this for me, baby

once in my life let me get what i want
girl, don't let me down
just once in my life let me hold on to
the good thing i've found, don't let me down
baby, say that you'll be stayin'
hmm-mmm-hmm mmm-hmmm

just once in my life let me get what i want
girl, don't let me down
just once in my life let me hold on to
the good thing i've found, don't let me down
just once in my life let me get what i want
girl, don't let me down",0
45,the seventh son,"johnny rivers
",1965,"everybody talkin' 'bout the seventh son
 in the whole wide world there is only one

 and i'm the one, i'm the one
 i'm the one, i'm the one
 the one they call the seventh son

 i can tell your future, it will come to pass
 i can do things to you make your heart feel glad
 look in the sky, predict the rain
 tell when a woman's got another man

 i'm the one, oh i'm the one
 i'm the one, i'm the one
 the one they call the seventh son

 i can talk these words that will sound so sweet
 they will even make your little heart skip a beat
 heal the sick, raise the dead
 make the little girls talk outta their heads

 i'm the one, oh i'm the one
 i'm the one, i'm the one
 the one they call the seventh son

 ------ lead guitar ------

 i can talk these words that will sound so sweet
 they will even make your little heart skip a beat
 heal the sick, raise the dead
 and make the little girls talk outta their heads

 i'm the one, oh i'm the one
 i'm the one, i'm the one
 the one they call the seventh son

 i'm the one, hey, hey
 i'm the one
 oh, i'm the one, babe
 oooo, i'm the one
 i'm the one, i'm the one
 the one they call the seventh son
 i'm the one, i'm the one
 the one they call the seventh son",0
46,"i'm henry the eighth, i am","herman's hermits
",1965,"sorry, we have no herman's hermits - i'm henry the eighth, i am lyrics at the moment.
			please check the spelling and try again to search herman's hermits i'm henry the eighth, i am lyrics


",0
47,a walk in the black forest,"horst jankowski
",1965,"[original is an instrumental music]
[vocals recorded by salena jones]

the trees join hands and say, ""hello,""
and suddenly ev'rywhere we go
the sun beams through in fun.
the  leaves form patterns like a heart
and whisper forever ""never part."" 
be true, 'cause  i love you.

shadows write words of love across our path;
birds sing ""how lucky those whose love just grows together.""
blades of grass stand on and on

and chatter together in a calm 
that's green and so serene,
a   mem'ry of our walk   of love.
in a dream, a stream goes by
reflecting a message from the sky above
and here and there we look around
to see other lovers who have found 
their way.

crickets tap out their symphony  in code;
rabbits run helter skelter finding shelter here.
and flowers swaying in the breeze
look up to the branches of the trees
and  sing as  birds take wing
all this is true 'cause i love you.

",0
48,for your love,"the yardbirds
",1965,"for your love.
for your love.
for your love.
i'd give you everything and more, and that's for sure.
for your love.
i'd bring you diamond rings and things right to your door.
for your love.

to thrill you with delight,
i'll give you diamonds bright.
there'll be things that will excite,
to make you dream of me at night.

for your love.
for your love.
for your love.

for your love, for your love,
i would give the stars above.
for your love, for your love,
i would give you all i could.

for your love.
for your love.
for your love.
i'd give the moon if it were mine to give.
for your love.
i'd give the stars and the sun 'fore i live.
for your love.

to thrill you with delight,
i'll give you diamonds bright.
there'll be things that will excite,
to make you dream of me at night.

for your love.
for your love.
for your love.
for your love.",0
49,california girls,"the beach boys
",1965,"well, east coast girls are hip, i really dig those styles they wear
and the southern girls with the way they talk, they knock me out when
i'm down there
the midwest farmers' daughter really makes you feel alright
and the northern girls, with the way they kiss, they keep their
boyfriends warm at night

i wish they all could be california
(wish they all could be california)
i wish they all could be california girls

the west coast has the sunshine and the girls all get so tan
i dig a french bikini on hawiian island dolls,by a palm tree in the
sand
i been all round this great big world and i seen all kinds of girls
yeah, but i couldn't wait to get back in the states
back to the cutest girls in the world

i wish they all could be california
(wish they all could be california)
i wish they all could be california girls

i wish they all could be california
(wish they all could be california)
i wish they all could be california girls",0
50,go now,"the moody blues
",1965,"we've already said goodbye
since you gotta go, oh, you'd better go now
go now, go now, go now before you see me cry
i don't want you to tell me just what you intend to do now
'cause how many times i have to tell you
darlin', darlin' i'm still in love with you now, woah

we've already said so long
i don't wanna see you go, oh, you had better go now
go now, go now, go now, don't you even try
telling me that you really don't want me to end this way, yeah
but, darlin', darlin', can't you see i want you to stay, yeah

since you gotta go, oh, you had better go now
go now, go now, go now before you see me cry
i don't want you to tell me just what you intend to do now
but how many times do i have to tell you, darlin', darlin'
i'm still in love, still in love with you now

i don't wanna see you go, but darlin', you'd better go now",0
51,goldfinger,"shirley bassey
",1965,"goldfinger, he's the man
the man with the midas touch
a spider's touch
such a cold finger
beckons you to enter his web of sin
but don't go in

golden words he will pour in your ear
but his lies can't disguise what you fear
for a golden girl knows when he's kissed her
it's the kiss of death from mister goldfinger
pretty girl, beware of his heart of gold
this heart is cold

golden words he will pour in your ear
but his lies can't disguise what you fear
for a golden girl knows when he's kissed her
it's the kiss of death from mister goldfinger
pretty girl, beware of his heart of gold
this heart is cold

he loves only gold
only gold
he loves gold
he loves only gold
only gold
he loves gold",0
52,down in the boondocks,"billy joe royal
",1965,"down in the boondocks
down in the boondocks
people put me down 'cause
that's the side of town i was born in
i love her she loves me but i don't fit in her society
lord have mercy on the boy from down in the boondocks

ev'ry night i watch the lights from the house up on the hill
i love a little girl who lives up there and i guess i always will
but i don't dare knock on her door
'cause her daddy is my boss man
so i have to try to be content
just to see her when ever i can

down in the boondocks
down in the boondocks
people put me down 'cause
that's the side of town i was born in
i love her she loves me but i don't fit in her society
lord have mercy on the boy from down in the boondocks

down in the boondocks
down in the boondocks

one fine day i'll find the way to move from this old shack
i'll hold my head up like a king and i never never will look back
until that morning i'll work and slave
and i'll save ev'ry dime
but tonight she'll have to steal away
to see me one more time

down in the boondocks
down in the boondocks
people put me down 'cause
that's the side of town i was born in
i love her she loves me but i don't fit in her society
lord have mercy on the boy from down in the boondocks
lord have mercy on the boy from down in the boondocks
lord have mercy on the boy from down in the boondocks",0
53,baby the rain must fall,"glenn yarbrough
",1965,"some men climb a mountain
some men swim the sea
some men fly above the sky
they are what they must be.

but, baby the rain must fall
baby the wind must blow
wherever my heart leads me
baby i must go
baby i must go.

i do not love for silver
i do not love for gold
my heart is mine to give away
it never will be sold.

so, baby the rain must fall
baby the wind must blow
wherever my heart leads me
baby i must go
baby i must go.

i am not rich or famous
but who can ever tell
i don't know now what waits for me
maybe heaven, maybe hell.

baby the rain must fall
baby the wind must blow
wherever my heart leads me
baby i must go
baby i must go.",0
54,catch us if you can,"the dave clark five
",1965,"here they come again, mmm
catch us if you can, mmm
time to get a move on, mmm
we will yell with all of our might

catch us if you can
catch us if you can
catch us if you can
catch us if you can

now we gotta run, mmm
no more time for fun, mmm
when we're getting angry, mmm
we will yell with all of our might

catch us if you can
catch us if you can
catch us if you can
catch us if you can, yeah

here they come again, mmm
catch us if you can, mmm
time to get a move on, mmm
we will yell with all of our might

catch us if you can
catch us if you can
catch us if you can
catch us if you can",0
55,eight days a week,"the beatles
",1965,"ooh, i need your love, babe
guess you know it's true
hope you need my love, babe
just like i need you

hold me, love me
hold me, love me
i ain't got nothing but love, babe
eight days a week

love you every day, girl
always on my mind
one thing i can say, girl
love you all the time

hold me, love me
hold me, love me
i ain't got nothing but love, girl
eight days a week

eight days a week
i love you
eight days a week
is not enough to show i care

ooh, i need your love, babe
guess you know it's true
hope you need my love, babe
just like i need you, oh

hold me, love me
hold me, love me
i ain't got nothing but love, babe
eight days a week

eight days a week
i love you
eight days a week
is not enough to show i care

love you every day, girl
always on my mind
one thing i can say, girl
love you all the time

hold me, love me
hold me, love me
i ain't got nothing but love, babe
eight days a week
eight days a week
eight days a week",0
56,just a little,"the beau brummels
",1965,"i can't stay, yes i know
you know i hate to go
but goodbye, love was sweet
our worlds can never meet
(chorus)
so i'll cry just a little 'cause i love you so
and i'll die just a little 'cause i have to go
away
can't you see how i feel
when i say love's unreal
but goodbye, it's been sweet
even though incomplete
(rc )
every night i still hear
all your sighs very clear
now love's gone, gone away
as i once heard you say
now i've cried just a little 'cause i loved you so
and i've died just a little 'cause i had to go
ahh... ahh... ahh... ahh...",0
57,you turn me on,"ian whitcomb
",1965,"ian whitcomb
miscellaneous
you turn me on (turn on song)
you turn me on
ian whitcomb

come on now honey you know you really turn me on
come on now honey you know you really turn me on
and when and when you do
uh huh huh huh uh uh that's my song

come on now baby, come on and do the jerk with me
come on now honey, come on and do the jerk with me
and if if you do
uh huh huh huh uh uh that's my song

(break)

come on now baby you know you really turn me on ah
come on now honey you know you really turn me on ah yeah
and when and when you do
uh huh huh huh uh uh that's my song

let's go!

taken from the 45

from: ""kay w. simons""",0
58,i'll be doggone,"marvin gaye
",1965,"well, i'll be doggone if i wouldn't work all day
and i'll be doggone if i wouldn't bring you my pay
but if i ever caught you running around
blowing my money all over this town

then i wouldn't be doggone
hey, hey, i'd be long gone
then i wouldn't be doggone
i'd be long gone

now hey, hey, hey
i'll be doggone if you ain't a pretty thing
and i'll be doggone if you ain't warm as a breath of spring
and if we live to be a hundred years old
if you ever let that spring turn cold

then i wouldn't be doggone
hey, hey, hey, i'd be long gone
oh, i wouldn't be doggone
babe, i'd be long gone

now did you hear me?
well, now what i say
oh, believe me

well, every woman should try to be
what ever her man wants her to be
and i don't want much
all i want from you is for you to be true to me

i'd be doggone if love ain't a man's best friend
and i'll be doggone if you ain't the loving end
though i know you make me feel like nobody could
if i ever found out that you're no good

then i wouldn't be doggone
i'd be long gone
well, i wouldn't be doggone
i'd be long gone
i wouldn't be doggone
i'd be long gone",0
59,save your heart for me,"gary lewis & the playboys
",1965,"gary lewis and the playboys
golden greats
save your heart for me
walk along the lake with someone new,
have yourself a summer fling or two,
but remember i'm in love with you
and save your heart for me.

when the summer moon is on the rise,
and you're dancin' under starlit skies,
please don't let the stars get in your eyes,
just save your heart for me.

when you're all alone, far away from home,
someone's gonna flirt with you.
i won't think it's wrong if you play along,
just don't fall for someone new.

when the autumn winds begin to blow
and the summer time is long ago,
you'll be in my arms again, i know,
so save your heart for me,
darlin', save your heart for me.

please remember i'm in love with you,
so save your heart for me,
darlin', save your heart for me.",0
60,tired of waiting for you,"the kinks
",1965,"so tired, tired of waiting
tired of waiting for you
so tired, tired of waiting
tired of waiting for you

i was a lonely soul
i had nobody till i met you
but you, keeping me waiting
all of the time, what can i do?

it's your life
and you can do what you want
do what you like
but please don't keep me waiting
please don't keep me waiting

'cuz i'm so tired, tired of waiting
tired of waiting for you
so tired, tired of waiting
tired of waiting for you

i was a lonely soul
i had nobody till i met you
but you, keeping me waiting
all of the time, what can i do?

it's your life
and you can do what you want
do what you like
but please don't keep me waiting
please don't keep me waiting

'cuz i'm so tired, tired of waiting
tired of waiting for you
so tired, tired of waiting
tired of waiting for you
for you, for you",0
61,count me in,"gary lewis & the playboys
",1965,"gary lewis
miscellaneous
count me in
count me in
gary lewis and the playboys
written by glen d. hardin

peak chart position # 2 in 1965

if you need someone to count on, count me in
someone you can rely on through thick and thin
when you start to count the ones that you might ever doubt
if you think of counting me, count me out

when you count the ones that want you, count me, too
and if i'm not first on your list, count me blue
just be sure you count on me and when the countin's through
count me madly in love with you

if you need someone to count on when you're down
and all your other friends you've lost, count me found
just be sure you count on me when you're down and out
count me in through thick and thin or it don't count

when you count the ones that want you, count me, too
and if i'm not first on your list, count me blue
just be sure you count on me and when the countin's through
count me madly in love with you

(ooh, ooh, ooh, ooh, ooh, ooh)

(ooh, ooh, ooh, ooh, ooh, ooh)

fade
(ooh, ooh, ooh, ooh, ooh, ooh)",0
62,all day and all of the night,"the kinks
",1965,"and here come the kinks with, 'all day and all of the night'

i'm not content to be with you in the daytime
girl i want to be with you all of the time
the only time i feel alright is by your side
girl i want to be with you all of the time

all day and all of the night
all day and all of the night
all day and all of the night

i believe that you and me last forever
oh yeah, all day and nighttime yours, leave me never
the only time i feel alright is by your side
girl i want to be with you all of the time

all day and all of the night
all day and all of the night
oh, come on

i believe that you and me last forever
oh yeah, all day and nighttime yours, leave me never
the only time i feel alright is by your side
girl i want to be with you all of the time

all day and all of the night
all day and all of the night time
all day and all of the night",0
63,what the world needs now is love,"jackie deshannon
",1965,"what the world needs now is love, sweet love
it's the only thing that there's just too little of
what the world needs now is love, sweet love
no, not just for some but for everyone

lord, we don't need another mountain
there are mountains and hillsides enough to climb
there are oceans and rivers enough to cross
enough to last until the end of time

what the world needs now is love, sweet love
it's the only thing that there's just too little of
what the world needs now is love, sweet love
no, not just for some but for everyone

lord, we don't need another meadow
there are corn fields and wheat fields enough to grow
there are sunbeams and moonbeams enough to shine
oh, listen lord, if you want to know

what the world needs now is love, sweet love
it's the only thing that there's just too little of
what the world needs now is love, sweet love
no, not just for some, oh but just for every, every, everyone

what the world needs now is love, sweet love
(whoa, whoa, is love)
what the world needs now is love, sweet love
(oh, oh, is love)
what the world needs now is love, sweet love
(whoa, whoa, is love)",0
64,it's not unusual,"tom jones
",1965,"it's not unusual to be loved by anyone
it's not unusual to have fun with anyone
but when i see you hanging about with anyone
it's not unusual to see me cry,
oh i wanna' die
it's not unusual to go out at any time
but when i see you out and about it's such a crime
if you should ever want to be loved by anyone,
it's not unusual it happens every day no matter what you say
you find it happens all the time
love will never do what you want it to
why can't this crazy love be mine
it's not unusual, to be mad with anyone
it's not unusual, to be sad with anyone
but if i ever find that you've changed at anytime
it's not unusual to find out that i'm in love with you
whoa-oh-oh-oh-oh",0
65,she's about a mover,"sir douglas quintet
",1965,"well, she was walking down the street
looking fine as she could be, hey, hey
well, she was walking down that street
looking fine as she can be
well, you know i love you, baby
wo, yeah, what i'd say

she's about a mover
she's about a mover
she's about a mover
she's about a mover
hey, hey, hey, hey, what i'd say

she's about a mover
she's about a mover
well, you know i love you, baby
wo, yeah, what i'd say, hey, hey

she strolled on up to me
said, ""hey, big boy, what's your name?"" hey, hey
well, she strolled on up to me
she said, ""hey, big boy, what's your name?""
if you want love and conversation
wo, yeah, what i'd say

she's about a mover
she's about a mover
she's about a mover
she's about a mover
hey, hey, hey, hey, what i'd say

she's about a mover
she's about a mover
if you want love and conversation
wo, yeah, what i'd say, hey, hey

well, you know i love you, baby
wo, yeah, what i'd say, hey, hey
come on, do it to me, baby
yeah",0
66,shake,"sam cooke
",1965,"shake
shake
shake
shake

listen

listen while i talk to you
i tell you what we're gonna do
there's a new thing that's going around
and i'll tell you what they're puttin' down

just move your body all around
and just shake, oh, mamma
shake, that's the way to do it
shake, oh, you're looking good now
shake, yeah, ha

shake it like a bowl of soup
and make your body loop de loop
put your hands on your hips
and kinda let your backbone slip
move your body like a whip
and just shake

umm, that's doing it
shake, yeah, you're looking good now
shake, go on, do it baby
shake, yeah, ohh

a ring-a-ling-a-ling
honey, shakin' is the latest thing
and if you wanna swing
just loosen up them shoulders

and if you wanna really roll
you got to do the thing with soul
shake the shake with all your might
oh, if you do it, do it right
just make your body loose and light
and kinda shake, oh, honey

shake, hoo
shake, oh, that's the way to do it
shake, ah-ah-ah-ah-ah, yeah

alright

oh, you're doing it now honey
c'mon, loosen up them shoulders

if you wanna really roll
got to do the thing with soul
shake the shake with all your might
now, if you do it, do it right
make your body loose and light
and just shake

oh, i like to do it
shake, make me feel good now
shake, all gone baby
shake, don't be shy now

shake, dance with you, mama
shake, don't do it baby
shake, oh yeah
shake",0
67,wonderful world,"herman's hermits
",1965,"don't know much about history
don't know much biology
don't know much about science books
don't know much about the french i took
but i do know that i love you
and i know that if you loved me too
what a wonderful world this would be

don't know much about geography
don't know much trigonometry
don't know much about algebra
don't know what a slide rule is for
but i know that one and one is two
and if this one could be with you
what a wonderful world this would be

now i don't claim to be an a student
but i'm tryin' to be
oh maybe by being an a student, baby
i can win your love for me

don't know much about history
don't know much biology
don't know much about science books
don't know much about the french i took
but i do know that i love you
and i know that if you loved me too
what a wonderful world this would be

[lead guitar]

but i do know that i love you
and i know that if you loved me too
what a wonderful world this would be",0
68,nowhere to run,"martha and the vandellas
",1965,"nowhere to run to baby, nowhere to hide
i got nowhere to run to baby, nowhere to hide

it's not love i'm runnin' from,
just the heartbreak i know will come
cause i know you're no good for me (you're no good)
but you've become a part of me

everywhere i go, your face i see,
every step i take, you take with me, yeah

nowhere to run to baby, nowhere to hide
got nowhere to run to baby, nowhere to hide

i know you're no good for me,
but free of you, i'll never be, no

each night as i sleep, into my heart you creep,
i wake up feeling sorry i met you,
hoping soon, that i'll forget you

when i look in the mirror, to comb my hair
i see your face just a-smilin' there

nowhere to run, nowhere to hide, from you baby
i got nowhere to run to baby, nowhere to hide

i know you're no good for me.
but you've become a part of me

how can i fight a love, that shouldn't be?
when it's so deep, so deep, deep inside of me

my love reaches so high, i can't get over it
it's so wide, i can't get around it, no

nowhere to run, nowhere to hide from you babe
just can't get away from you baby, no matter how i try

i know you're no good for me,
but free of you, i'll never be

nowhere to run to baby, nowhere to hide (nowhere to hide)
got nowhere to run to baby, nowhere to hide (nowhere to hide)",0
69,heart full of soul,"the yardbirds
",1965,"sick at heart and lonely
deep in dark despair
thinking one thought only
""where is she, tell me where?""

and if she says to you
she don't love me
please give her my message
tell her of my plea

and i know
that if she had me back again
i would never make her sad
i've got a heart full of soul

and i know
that if she had me back again
i would never make her sad
i've got a heart full of soul

she's been gone such a long time
longer than i can bear
but if she says she wants me
tell her that i'll be there

and if she says to you
she don't love me
please give her my message
tell her of my plea

and i know
that if she had me back again
i would never make her sad
i've got a heart full of soul",0
70,love potion no. 9,"the searchers
",1965,not set yet.,
71,laurie (strange things happen),"dickey lee
",1965,"last night at the dance i met laurie,
so lovely and warm, an angel of a girl.
last night i fell in love with laurie -
strange things happen in this world.

as i walked her home,
she said it was her birthday.
i pulled her close and said
""will i see you anymore?""
then suddenly she asked for my sweater
and said that she was very, very cold.

i kissed her goodnight
at her door and started home,
then thought about my sweater
and went right back instead.
i knocked at her door and a man appeared.
i told why i'd come, then he said:

""you're wrong, son.
you weren't with my daughter.
how can you be so cruel
to come to me this way?
my laurie left this world on her birthday -
she died a year ago today.""

a strange force drew me to the graveyard.
i stood in the dark,
i saw the shadows wave,
and then i looked and saw my sweater
lyin' there upon her grave.

strange things happen in this world.",0
72,baby don't go,"sonny & cher
",1965,"sonny
miscellaneous
baby don't go
baby don't go
sonny & cher

baby don't go, pretty baby please don't go

i never had a mother, i hardly knew my dad
i've been in town for 18 years
you're the only boy i've had
i can't stay, maybe i'll be back some day

baby don't go, pretty baby please don't go
i love you so, pretty baby please don't go

i never had no money, i bought at the second store
the way this old town laughs at me
i just can't take it no more
i can't stay, i'm gonna be a lady some day

baby don't go, pretty baby please don't go
i love you so, pretty baby please don't go

when i get to the city, my tears will all be dry
my eyes will look so pretty
no one's gonna know i cried
yes i'm goin' away, maybe i'll be back some day

baby don't go, maybe i'll be back some day

from: [email protected]",0
73,it ain't me babe,"the turtles
",1965,"go away from my window
leave at your own chosen speed
i'm not the one you want, babe
i'm not the one you need

you say, you're lookin' for someone
who's never weak but always strong
to protect you an' defend you
whether you are right or wrong

someone to open each and every door
but it ain't me, babe
no, no, no, it ain't me babe
well, it ain't me you're lookin' for, babe

go lightly from the ledge, babe
go lightly on the ground
i'm not the one you want, babe
i'll only lead your down

you say, you're lookin' for someone
who'll promise never to part
someone to close his eyes to you
someone to close his heart

someone who will die for you an' more
but it ain't me, babe
no, no, no, it ain't me babe
well, it ain't me you're lookin' for, babe
no, it ain't me you're lookin' for, babe

i said, no, no, no, it ain't me babe
i said, no, no, no, it ain't me babe
i said, no, no, no, it ain't me babe
i said, no, no, no, it ain't me babe",0
74,tell her no,"the zombies
",1965,"and if she should tell you ""come closer""
and if she tempts you with her charms

tell her no, no, no, no, no, no, no, no
no, no, no, no, no, no, no, no
no, no, no, no, no
don't hurt me now for her love belongs to me

and if she should tell you, ""come closer""
and if she tempts you with her charms

tell her no, no, no, no, no, no, no, no
no, no, no, no, no, no, no, no
(don't take her love for your arms)
no, no, no, no, no
don't hurt me now for her love belongs to me

i know she's the kind of girl
who'd throw my love away
but i still love her so
don't hurt me now, don't hurt me now

if she tells you ""i love you""
just remember she said that to me

tell her no, no, no, no, no, no, no, no
no, no, no, no, no, no, no, no
(don't take her love from my arms)
no, no, no, no, no
don't leave her now for her love belongs to me",0
75,i go to pieces,"peter and gordon
",1965,"peter
miscellaneous
i go to pieces
i go to pieces
del shannon
(d. shannon)

when i see her comin' down the street
i get so shaky and i feel so weak
i tell my eyes look the other way
but they don't seem to hear a word i say

and i, go to pieces and i wanna hide
go to pieces and i almost die
everytime my baby passes by

i tell my arms they'll hold someone new
another love that will be true
but they don't listen, they don't seem to care
they reach for her but she's not there

and i, go to pieces and i wanna hide
go to pieces and i almost die
everytime my baby passes by

i remember what she said when she said
""goodbye baby. we'll meet again soon maybe""
""but until we do, all my best to you""
i'm so lonely, i think about her only

i go to places we used to go
but i know she'll never show
she hurt me so much inside
now i hope she's satisfied

and i, go to pieces and i wanna hide
go to pieces and i almost die
everytime my baby passes by
go to pieces and i cry
everytime my baby passes by
go to pieces and i cry",0
